ckan_tag,ckan_key,status,Action Needed
Douglas-fir,douglas-fir,Exact match,
Douglas-fir beetle,douglas-fir beetle,Exact match,
Douglas-fir tussock moth,douglas-fir tussock moth,Exact match,
Dr,dr,Exact match,
Drought,drought,Exact match,
Dry interior forests,dry interior forests,Exact match,
Dwarf mistletoe,dwarf mistletoe,Exact match,
Economic,economic,Exact match,
Ecosystem health,ecosystem health,Exact match,
Elk,elk,Exact match,
ESSF,essf,Exact match,
ESSFdc,essfdc,Exact match,
ESSFdc2,essfdc2,Exact match,
ESSFdk,essfdk,Exact match,
ESSFdv,essfdv,Exact match,
ESSFm1,essfm1,Exact match,
ESSFm2,essfm2,Exact match,
ESSFmc,essfmc,Exact match,
ESSFmm,essfmm,Exact match,
ESSFmm1,essfmm1,Exact match,
ESSFmv2,essfmv2,Exact match,
ESSFvc,essfvc,Exact match,
ESSFwc1,essfwc1,Exact match,
ESSFwc2,essfwc2,Exact match,
ESSFwc3,essfwc3,Exact match,
ESSFwk1,essfwk1,Exact match,
ESSFwk2,essfwk2,Exact match,
ESSFwm,essfwm,Exact match,
ESSFwv,essfwv,Exact match,
ESSFxc,essfxc,Exact match,
Even-aged system,even-aged system,Exact match,
Fd,fd,Exact match,
Feller-buncher,feller-buncher,Exact match,
Fertilizing,fertilizing,Exact match,
Fire,fire,Exact match,
Fisher,fisher,Exact match,
Flooding,flooding,Exact match,
Forest health,forest health,Exact match,
Forwarder,forwarder,Exact match,
Frost,frost,Exact match,
Fuel management,fuel management,Exact match,
Full fibre utilization,full fibre utilization,Exact match,
Genetic worth,genetic worth,Exact match,
Global,global,Exact match,
Goats,goats,Exact match,
Goshawk,goshawk,Exact match,
Grapple equipment,grapple equipment,Exact match,
Grizzly bear,grizzly bear,Exact match,
Group cut,group cut,Exact match,
Growth,growth,Exact match,
Guidance document,guidance document,Exact match,
Gypsy moth,gypsy moth,Exact match,
Harvest,harvest,Exact match,
Heavy lift helicopter,heavy lift helicopter,Exact match,
Herbicide,herbicide,Exact match,
Hm,hm,Exact match,
Hw,hw,Exact match,
Hydrology,hydrology,Exact match,
ICH,ich,Exact match,
ICHdk,ichdk,Exact match,
ICHdw,ichdw,Exact match,
ICHdw1,ichdw1,Exact match,
ICHmc1,ichmc1,Exact match,
ICHmc2,ichmc2,Exact match,
ICHmk1,ichmk1,Exact match,
ICHmk3,ichmk3,Exact match,
ICHmw,ichmw,Exact match,
ICHmw1,ichmw1,Exact match,
ICHmw2,ichmw2,Exact match,
ICHmw3,ichmw3,Exact match,
ICHvk2,ichvk2,Exact match,
ICHwk1,ichwk1,Exact match,
ICHwk2,ichwk2,Exact match,
ICHwk3,ichwk3,Exact match,
ICHwk4,ichwk4,Exact match,
IDF,idf,Exact match,
IDFdk,idfdk,Exact match,
IDFdk2,idfdk2,Exact match,
IDFdk3,idfdk3,Exact match,
IDFdk4,idfdk4,Exact match,
IDFdm,idfdm,Exact match,
IDFdm1,idfdm1,Exact match,
IDFdm2,idfdm2,Exact match,
IDFmw,idfmw,Exact match,
IDFww,idfww,Exact match,
IDFxh,idfxh,Exact match,
IDFxh1,idfxh1,Exact match,
IDFxh2,idfxh2,Exact match,
IDFxm,idfxm,Exact match,
Insect,insect,Exact match,
Interior BC,interior bc,Exact match,
Irregular system,irregular system,Exact match,
Larch casebearer,larch casebearer,Exact match,
Larix occidentalis,larix occidentalis,Exact match,
Loading equipment,loading equipment,Exact match,
Lw,lw,Exact match,
Manual brushing,manual brushing,Exact match,
Mass wasting,mass wasting,Exact match,
Mastication,mastication,Exact match,
Masticator,masticator,Exact match,
Mb,mb,Exact match,
Mechanical falling equipment,mechanical falling equipment,Exact match,
Mechanical processing equipment,mechanical processing equipment,Exact match,
Mechanical raking machine,mechanical raking machine,Exact match,
MH,mh,Exact match,
MHmm,mhmm,Exact match,
MHwh,mhwh,Exact match,
Models,models,Exact match,
Monitoring,monitoring,Exact match,
Montana,montana,Exact match,
Montane and subalpine forests,montane and subalpine forests,Exact match,
Moose,moose,Exact match,
Mountain pine beetle,mountain pine beetle,Exact match,
MS,ms,Exact match,
MSdc,msdc,Exact match,
MSdk,msdk,Exact match,
MSdk1,msdk1,Exact match,
MSdm,msdm,Exact match,
MSdm1,msdm1,Exact match,
MSdv,msdv,Exact match,
MSxk,msxk,Exact match,
MSxv,msxv,Exact match,
MSxv1,msxv1,Exact match,
Mulching,mulching,Exact match,
Mule deer,mule deer,Exact match,
Natural disturbances,natural disturbances,Exact match,
New Mexico,new mexico,Exact match,
North Coast BC,north coast bc,Exact match,
North Island BC,north island bc,Exact match,
Northern AB,northern ab,Exact match,
Northern BC,northern bc,Exact match,
Northern Interior BC,northern interior bc,Exact match,
Northwest AB,northwest ab,Exact match,
OGMA,ogma,Exact match,
Old growth attributes,old growth attributes,Exact match,
old growth management area,old growth management area,Exact match,
Oregon,oregon,Exact match,
Other Canadian Provinces or Territories,other canadian provinces or territories,Exact match,
Pa,pa,Exact match,
Patch cut,patch cut,Exact match,
Picea engelmannii,picea engelmannii,Exact match,
Picea engelmannii x glauca,picea engelmannii x glauca,Exact match,
Picea glauca,picea glauca,Exact match,
Picea glauca x sitchensis,picea glauca x sitchensis,Exact match,
Picea mariana,picea mariana,Exact match,
Picea sitchensis,picea sitchensis,Exact match,
Pine needlecast,pine needlecast,Exact match,
Pinus albicaulis,pinus albicaulis,Exact match,
Pinus banksiana,pinus banksiana,Exact match,
Pinus contorta,pinus contorta,Exact match,
Pinus monticola,pinus monticola,Exact match,
Pinus ponderosa,pinus ponderosa,Exact match,
Pj,pj,Exact match,
Pl,pl,Exact match,
Planting,planting,Exact match,
Plywood,plywood,Exact match,
Podcast,podcast,Exact match,
Populus balsamifera,populus balsamifera,Exact match,
Populus tremuloides,populus tremuloides,Exact match,
Populus trichocarpa,populus trichocarpa,Exact match,
PP,pp,Exact match,
PPdh2,ppdh2,Exact match,
PPxh1,ppxh1,Exact match,
Prescribed fire,prescribed fire,Exact match,
Primary transport equipment,primary transport equipment,Exact match,
Processing equipment,processing equipment,Exact match,
Pruning,pruning,Exact match,
Pseudotsuga menziesii,pseudotsuga menziesii,Exact match,
Pulp,pulp,Exact match,
Pw,pw,Exact match,
Py,py,Exact match,
Qg,qg,Exact match,
Quebec,quebec,Exact match,
Quercus garryana,quercus garryana,Exact match,
Ra,ra,Exact match,
Red squirrel,red squirrel,Exact match,
Reforestation,reforestation,Exact match,
Restoration,restoration,Exact match,
Retention system,retention system,Exact match,
Riparian habitat,riparian habitat,Exact match,
riparian management area,riparian management area,Exact match,
RMA,rma,Exact match,
Rodents,rodents,Exact match,
Root disease,root disease,Exact match,
